"Prime Contract ID","Contract Includes Sub Vendors","Vendor Record Type","Prime Vendor","Prime Vendor M/WBE Category","Prime Contract Purpose","Prime Contract Current Amount","Prime Contract Original Amount","Prime Vendor Spend to Date","Prime Contract Start Date","Prime Contract End Date","Prime Contract Registration Date","Prime Woman Owned Business","Prime Emerging Business","Prime Contracting Agency","OCA Number","Prime Contract Version","FMS Document/Parent Contract ID","Prime Contract Type","Prime Contract Award Method","Prime Contract Expense Category","Prime Contract Industry","Prime Contract PIN","Prime Contract APT PIN","% COVID Spending","% Other Spending","Sub Vendor","Sub Vendor M/WBE Category","Sub Contract Purpose","Subcontract Status","Sub Contract Industry","Sub Contract Current Amount","Sub Contract Original Amount","Sub Vendor Paid to Date","Sub Contract Start Date","Sub Contract End Date","Sub Contract Reference ID","Sub Woman Owned Business","Sub Emerging Business"
CT181620231406166,Not Required,Prime Vendor,PRIORITY ENTERPRISE INC,Black American,PROMOTIONAL ITEMS,1022.94,1022.94,1022.94,2022-08-31,2023-06-30,2022-09-30,No ,No ,Department of Health and Mental Hygiene,,1,-,SUPPLIES/MATERIALS/EQUIPMENT,"SMALL PURCHASE - UNDER $5,000",ECONOMIC DEVELOPMENT,Goods,816-FINA-23-1204-N00,"",-,,-,-,-,-,-,0.00,0.00,0.00,-,-,-,No ,No 
CT181620231406151,Not Required,Prime Vendor,CORNERSTONE COMMISSIONING INC,Non-M/WBE,RECOMMISSIONING SERVICES FOR PHL's BSL-3 LABORATORY,99600.00,99600.00,6707.50,2022-08-01,2024-07-31,2022-10-07,No ,No ,Department of Health and Mental Hygiene,,1,-,WORK/LABOR,SM PURCH GOODS SERVICES 100K,MAINT & OPER OF INFRASTRUCTURE,Human Services,23BS010101R0X00,"",-,,-,-,-,-,-,0.00,0.00,0.00,-,-,-,No ,No 
CT181620231406079,Not Required,Prime Vendor,"BODE Cellmark Forensics, INC",Non-M/WBE,FY2023 23R0460LP-Subscription of IQAS Proficiency Tests Kits,70440.00,70440.00,66420.00,2022-12-01,2024-06-30,2022-11-14,No ,No ,Department of Health and Mental Hygiene,,2,-,SUBSCRIPTIONS,SUBSCRIPTION ETC PER PPB,BOOKS-OTHER,Professional Services,22R0313LP,"",-,,-,-,-,-,-,0.00,0.00,0.00,-,-,-,No ,No 
CT181620231406076,Not Required,Prime Vendor,EMPIRE ELECTRONICS INC,Women (Non-Minority),Microwaves,379.98,379.98,379.98,2022-08-11,2023-06-30,2022-09-29,Yes,No ,Department of Health and Mental Hygiene,,1,-,SUPPLIES/MATERIALS/EQUIPMENT,"SMALL PURCHASE - UNDER $5,000",EQUIPMENT GENERAL,Goods,816-FCHG-23-0956-N00,"",-,,-,-,-,-,-,0.00,0.00,0.00,-,-,-,No ,No 
CT181620231406031,Not Required,Prime Vendor,Rock Star Contractors Corp,Hispanic American,Replacement of tiles and repair of sub-flooring at 125 Worth,15870.00,15870.00,15166.59,2022-07-19,2023-06-30,2022-09-28,No ,No ,Department of Health and Mental Hygiene,,1,-,WORK/LABOR,"SMALL PURCHASE - UNDER $5,000",MAINT & OPER OF INFRASTRUCTURE,Standardized Services,816-ADMA-23-0485-N00,"",-,,-,-,-,-,-,0.00,0.00,0.00,-,-,-,No ,No 
CT181620231406001,Not Required,Prime Vendor,FRONTLINE SECURITY SOLUTIONS INC,Asian American,"Provide Maintenance, Repair and Installation for Alarm Secur",4750.00,4750.00,0.00,2022-07-01,2022-07-31,2022-09-28,No ,No ,Department of Health and Mental Hygiene,,1,-,WORK/LABOR,"SMALL PURCHASE - UNDER $5,000",SECURITY EQUIPMENT,Human Services,816-ADMA-23-0346-N00,"",-,,-,-,-,-,-,0.00,0.00,0.00,-,-,-,No ,No 
CT181620231405930,Not Required,Prime Vendor,DH Leonard Consulting & Grant Writing Services LLC,Women (Non-Minority),Grant Writing Training,2500.00,2500.00,2500.00,2022-08-15,2023-06-30,2022-09-28,Yes,No ,Department of Health and Mental Hygiene,,1,-,WORK/LABOR,"SMALL PURCHASE - UNDER $5,000",CONTRACTUAL SERVICES GENERAL,Human Services,816-CHEA-23-1016-N00,"",-,,-,-,-,-,-,0.00,0.00,0.00,-,-,-,No ,No 
CT181620231405929,Not Required,Prime Vendor,INTIVITY INC,Hispanic American,Amia Chair for Reasonable Accommodation,696.43,696.43,696.43,2022-08-08,2023-06-30,2022-09-28,No ,No ,Department of Health and Mental Hygiene,,1,-,SUPPLIES/MATERIALS/EQUIPMENT,"SMALL PURCHASE - UNDER $5,000",OFFICE FURITURE,Goods,816-IITD-23-1050-N00,"",-,,-,-,-,-,-,0.00,0.00,0.00,-,-,-,No ,No 
CT181620231405928,No,Prime Vendor,KAMBRIAN CORPORATION,Asian American,Renewal - Lenovo Servers HW Maintenance & Support,15593.11,15593.11,15593.11,2022-09-01,2023-08-31,2022-09-28,Yes,No ,Department of Health and Mental Hygiene,,1,-,WORK/LABOR,"SMALL PURCHASE - UNDER $5,000",DATA PROCESSING EQUIPMENT MAINTENANCE,Professional Services,816-IITD-23-1046-N00,"",-,,-,-,-,-,-,0.00,0.00,0.00,-,-,-,No ,No 
CT181620231405926,Not Required,Prime Vendor,B2B HOLDINGS INC,Women (Non-Minority),PROMOTIONAL ITEMS - NIGHTLIGHTS FOR ENVIRONMENTAL HEALTH - H,6605.36,2999.20,6605.36,2022-08-11,2023-06-30,2022-09-28,Yes,No ,Department of Health and Mental Hygiene,,2,-,SUPPLIES/MATERIALS/EQUIPMENT,"SMALL PURCHASE - UNDER $5,000",ECONOMIC DEVELOPMENT,Goods,816-EHSF-23-0975-A01,"",-,,-,-,-,-,-,0.00,0.00,0.00,-,-,-,No ,No 
CT181620231405920,Not Required,Prime Vendor,HUMANSCALE CORPORATION,Non-M/WBE,eFloat + Keyboard Tray - EEO Reasonable Accommodation,3239.56,851.98,2278.14,2022-08-10,2023-06-30,2022-09-28,No ,No ,Department of Health and Mental Hygiene,,4,-,SUPPLIES/MATERIALS/EQUIPMENT,"SMALL PURCHASE - UNDER $5,000",OFFICE FURITURE,Goods,816-DISC-23-1039-A03,"",-,,-,-,-,-,-,0.00,0.00,0.00,-,-,-,No ,No 
CT181620231405919,Not Required,Prime Vendor,HUMANSCALE CORPORATION,Non-M/WBE,To pay invoice -Float Table & Keyboard Tray for Prevention a,1795.17,667.47,1795.16,2022-08-10,2023-06-30,2022-09-28,No ,No ,Department of Health and Mental Hygiene,,2,-,SUPPLIES/MATERIALS/EQUIPMENT,"SMALL PURCHASE - UNDER $5,000",OFFICE FURITURE,Goods,816-CHEA-23-0943-N00,"",-,,-,-,-,-,-,0.00,0.00,0.00,-,-,-,No ,No 
CT181620231405918,Not Required,Prime Vendor,OPTIFORM IMAGING SYSTEMS INC,Non-M/WBE,Teleform Annual Upgrade Assurance Renewal. Period 9/25/22 th,7744.00,7744.00,7744.00,2022-09-25,2023-09-24,2022-09-28,No ,No ,Department of Health and Mental Hygiene,1013217861,1,-,SUPPLIES/MATERIALS/EQUIPMENT,"SMALL PURCHASE - UNDER $5,000",DATA PROCESSING SUPPLIES,Goods,816-EPIA-23-1062-N00,"",-,,-,-,-,-,-,0.00,0.00,0.00,-,-,-,No ,No 
CT181620231405917,Not Required,Prime Vendor,CLARKE MOSQUITO CONTROL PRODUCTS INC,Non-M/WBE,PESTICIDE FOR MOSQUITO CONTROL FOR ENVIRONMENTAL HEALTH,15704.00,15704.00,15704.00,2022-08-15,2023-06-30,2022-09-28,No ,No ,Department of Health and Mental Hygiene,1013217859,1,-,SUPPLIES/MATERIALS/EQUIPMENT,"SMALL PURCHASE - UNDER $5,000",EQUIPMENT GENERAL,Goods,816-EHSL-23-1112-N00,"",-,,-,-,-,-,-,0.00,0.00,0.00,-,-,-,No ,No 
CT181620231405916,Not Required,Prime Vendor,CUNY School of Law Justice & Auxiliary Servic,Non-M/WBE,Space Rental for Finance Retreat - Division of Finance-Burea,350.00,350.00,350.00,2022-08-24,2023-06-30,2022-09-28,No ,No ,Department of Health and Mental Hygiene,1013217853,1,-,SUPPLIES/MATERIALS/EQUIPMENT,"SMALL PURCHASE - UNDER $5,000",OTHR SERV AND CHRGS-GENERAL,Goods,816-FINA-23-1137-N00,"",-,,-,-,-,-,-,0.00,0.00,0.00,-,-,-,No ,No 
CT181620231405915,No,Prime Vendor,KAMBRIAN CORPORATION,Asian American,Renewal: APC by Schneider Electric Software Support Contract,12795.96,12795.96,12795.96,2022-11-03,2023-11-02,2022-09-28,Yes,No ,Department of Health and Mental Hygiene,,1,-,SUPPLIES/MATERIALS/EQUIPMENT,"SMALL PURCHASE - UNDER $5,000",DATA PROCESSING EQUIPMENT MAINTENANCE,Goods,816-IITD-23-0939-N00,"",-,,-,-,-,-,-,0.00,0.00,0.00,-,-,-,No ,No 
CT181620231405914,Not Required,Prime Vendor,ABBYY USA SOFTWARE HOUSE INC,Non-M/WBE,Annual Software Renewal for Environmental Health,10551.96,10551.96,10551.96,2022-07-01,2025-06-30,2022-09-28,No ,No ,Department of Health and Mental Hygiene,,1,-,SUPPLIES/MATERIALS/EQUIPMENT,"SMALL PURCHASE - UNDER $5,000",DATA PROCESSING SUPPLIES,Goods,816-EHSF-23-0649-N00,"",-,,-,-,-,-,-,0.00,0.00,0.00,-,-,-,No ,No 
CT181620231405913,Not Required,Prime Vendor,CPR123 Inc.,Asian American,BLS/CPR TRAINING,2625.00,2625.00,1050.00,2022-07-26,2023-06-30,2022-09-28,Yes,No ,Department of Health and Mental Hygiene,,1,-,WORK/LABOR,"SMALL PURCHASE - UNDER $5,000",TRAINING PRGM CITY EMPLOYEES,Human Services,816-FCHN-23-0769-N00,"",-,,-,-,-,-,-,0.00,0.00,0.00,-,-,-,No ,No 
CT181620231405912,Not Required,Prime Vendor,EXCEL REPORTING INC,Women (Non-Minority),Stenographic Reporting Services - Transcriptions of OGC meet,5000.00,5000.00,2440.25,2022-07-01,2023-06-30,2022-09-28,Yes,No ,Department of Health and Mental Hygiene,,1,-,WORK/LABOR,"SMALL PURCHASE - UNDER $5,000",CONTRACTUAL SERVICES GENERAL,Human Services,816-OGCA-23-0981-N00,"",-,,-,-,-,-,-,0.00,0.00,0.00,-,-,-,No ,No 
CT181620231405911,Not Required,Prime Vendor,FRONTLINE SECURITY SOLUTIONS INC,Asian American,Central Station Monitoring and Unarmed Guard Response for DO,2000.00,2000.00,0.00,2022-07-01,2022-07-31,2022-09-28,No ,No ,Department of Health and Mental Hygiene,,1,-,WORK/LABOR,"SMALL PURCHASE - UNDER $5,000",SECURITY EQUIPMENT,Professional Services,816-ADMA-23-0348-N00,"",-,,-,-,-,-,-,0.00,0.00,0.00,-,-,-,No ,No 
CT181620231405855,Not Required,Prime Vendor,INTANDEM CYCLING INC,Non-M/WBE,Biking Community,7500.00,7500.00,7500.00,2022-07-01,2023-06-30,2022-09-27,No ,No ,Department of Health and Mental Hygiene,1013217730,1,-,CONSULTANT,"SMALL PURCHASE - UNDER $5,000",CONTRACTUAL SERVICES GENERAL,Human Services,816-CHEA-23-0996-N00,"",-,,-,-,-,-,-,0.00,0.00,0.00,-,-,-,No ,No 
CT181620231405851,Not Required,Prime Vendor,GEORGIA STATE UNIVERSITY,Non-M/WBE,Training to OEPR STAFF an in-depth guide to the organization,18500.00,18500.00,16000.00,2022-07-12,2023-06-30,2022-09-27,No ,No ,Department of Health and Mental Hygiene,,1,-,WORK/LABOR,"SMALL PURCHASE - UNDER $5,000",TRAINING PRGM CITY EMPLOYEES,Standardized Services,816-EPRF-23-0729-N00,"",-,,-,-,-,-,-,0.00,0.00,0.00,-,-,-,No ,No 
CT181620231405810,Not Required,Prime Vendor,Green Building Education Systems,Non-M/WBE,Please Expedite Training Requested for September 2022. WELL,289.00,289.00,289.00,2022-08-11,2023-06-30,2022-09-27,No ,No ,Department of Health and Mental Hygiene,1013216826,1,-,SUPPLIES/MATERIALS/EQUIPMENT,"SMALL PURCHASE - UNDER $5,000",TRAINING PRGM CITY EMPLOYEES,Goods,816-EHSM-23-0953-N00,"",-,,-,-,-,-,-,0.00,0.00,0.00,-,-,-,No ,No 
CT181620231405809,Not Required,Prime Vendor,"Bargoose Home Textiles, Inc.",Women (Non-Minority),Mattress and Pillow Covers for Environmental Health,19942.46,7062.18,19552.36,2022-08-09,2023-06-30,2022-09-27,Yes,No ,Department of Health and Mental Hygiene,,3,-,SUPPLIES/MATERIALS/EQUIPMENT,"SMALL PURCHASE - UNDER $5,000",SUPPLIES + MATERIALS - GENERAL,Goods,816-EHSF-23-0920-A01,"",-,,-,-,-,-,-,0.00,0.00,0.00,-,-,-,No ,No 
CT181620231405808,Not Required,Prime Vendor,MARGEN DESIGNS INC,Women (Non-Minority),Diverse Green cleaning products delivery to 19 DOHMH locatio,19983.61,19983.61,19983.61,2022-09-19,2023-06-30,2022-09-27,Yes,No ,Department of Health and Mental Hygiene,,1,-,SUPPLIES/MATERIALS/EQUIPMENT,"SMALL PURCHASE - UNDER $5,000",CLEANING SUPPLIES,Goods,816-ADMA-23-1101-N00,"",-,,-,-,-,-,-,0.00,0.00,0.00,-,-,-,No ,No 
CT181620231405807,Not Required,Prime Vendor,PARAGON INTERNATIONAL INC,Non-M/WBE,Toothbrush training materials,2827.20,2827.20,2827.20,2022-08-03,2023-06-30,2022-09-27,No ,No ,Department of Health and Mental Hygiene,1013216813,1,-,SUPPLIES/MATERIALS/EQUIPMENT,"SMALL PURCHASE - UNDER $5,000",SUPPLIES + MATERIALS - GENERAL,Goods,816-FCHB-23-0839-N00,"",-,,-,-,-,-,-,0.00,0.00,0.00,-,-,-,No ,No 
CT181620231405749,Not Required,Prime Vendor,AMERICAN ASSOCIATION OF POISON CONTROL CENTERS,Non-M/WBE,AAPCC - NPDS Dashboard - Qlik Software License Subscription,1588.80,1588.80,0.00,2022-07-01,2023-06-30,2022-09-26,No ,No ,Department of Health and Mental Hygiene,1013281052,2,-,SUPPLIES/MATERIALS/EQUIPMENT,"SMALL PURCHASE - UNDER $5,000",DATA PROCESSING SUPPLIES,Goods,816-EHSA-23-0572-N00,"",-,,-,-,-,-,-,0.00,0.00,0.00,-,-,-,No ,No 
CT181620231405748,Not Required,Prime Vendor,AMVET OFFICE SUPPLIES LLC,Black American,HideAway Convertible Truck,5167.72,1083.11,5167.72,2022-08-05,2023-06-30,2022-09-26,No ,No ,Department of Health and Mental Hygiene,,2,-,SUPPLIES/MATERIALS/EQUIPMENT,"SMALL PURCHASE - UNDER $5,000","EQUIPMENT GENERAL, SUPPLIES + MATERIALS - GENERAL",Goods,816-CHEA-23-0881-N00,"",-,,-,-,-,-,-,0.00,0.00,0.00,-,-,-,No ,No 
CT181620231405723,Not Required,Prime Vendor,PRECISE TRANSCRIPTS LLC,Non-M/WBE,TIME EXTENSION FOR MEDICAL TRANSCRIPTION SERVICES_24R0851,100000.00,100000.00,99398.50,2022-12-01,2023-11-30,2022-12-08,No ,No ,Department of Health and Mental Hygiene,,3,-,REQUIREMENTS-SERVICES,SM PURCH GOODS SERVICES 100K,OTHR SERV AND CHRGS-GENERAL,Not Classified,23MC001 REBID,"",-,,-,-,-,-,-,0.00,0.00,0.00,-,-,-,No ,No 
CT181620231405720,Not Required,Prime Vendor,CHAIN STORE GUIDES LLC,Non-M/WBE,Chain Store Guide Database Access for Environmental Health,1395.00,1395.00,1395.00,2022-09-01,2023-06-30,2022-09-26,No ,No ,Department of Health and Mental Hygiene,1013215771,1,-,SUPPLIES/MATERIALS/EQUIPMENT,"SMALL PURCHASE - UNDER $5,000",DATA PROCESSING SUPPLIES,Goods,816-EHSM-23-1007-N00,"",-,,-,-,-,-,-,0.00,0.00,0.00,-,-,-,No ,No 
CT181620231405719,Not Required,Prime Vendor,MIDTOWN ENDODONTICS PC,Black American,Fluoride Varnish Dental Materials,14172.75,14172.75,14172.75,2022-08-01,2023-06-30,2022-09-26,Yes,No ,Department of Health and Mental Hygiene,,1,-,SUPPLIES/MATERIALS/EQUIPMENT,"SMALL PURCHASE - UNDER $5,000","MEDICAL,SURGICAL & LAB SUPPLY",Goods,816-FCHB-23-0815-N00,"",-,,-,-,-,-,-,0.00,0.00,0.00,-,-,-,No ,No 
CT181620231405718,Not Required,Prime Vendor,JDBROLIC CORP,Hispanic American,Office Appliances for Environmental Health -  BCC,1789.92,1539.93,1789.92,2022-07-28,2023-06-30,2022-09-26,No ,No ,Department of Health and Mental Hygiene,,2,-,SUPPLIES/MATERIALS/EQUIPMENT,"SMALL PURCHASE - UNDER $5,000",EQUIPMENT GENERAL,Goods,816-EHSN-23-0788-N00,"",-,,-,-,-,-,-,0.00,0.00,0.00,-,-,-,No ,No 
CT181620231405717,Not Required,Prime Vendor,HUMANSCALE CORPORATION,Non-M/WBE,"Efloat Table For Cassie  Toner,Julia Gomez ,Sara Atlas,and S",16247.91,3360.06,16029.64,2022-07-01,2023-06-30,2022-09-26,No ,No ,Department of Health and Mental Hygiene,,8,-,SUPPLIES/MATERIALS/EQUIPMENT,"SMALL PURCHASE - UNDER $5,000",OFFICE FURITURE,Goods,816-MHYN-23-0618-A06,"",-,,-,-,-,-,-,0.00,0.00,0.00,-,-,-,No ,No 
CT181620231405716,No,Prime Vendor,KAMBRIAN CORPORATION,Asian American,RENEWAL - RightFax SW,20000.00,20000.00,20000.00,2022-10-01,2023-09-30,2022-09-26,Yes,No ,Department of Health and Mental Hygiene,,1,-,SUPPLIES/MATERIALS/EQUIPMENT,"SMALL PURCHASE - UNDER $5,000",DATA PROCESSING SUPPLIES,Goods,816-IITD-23-0513-N00,"",-,,-,-,-,-,-,0.00,0.00,0.00,-,-,-,No ,No 
CT181620231405687,Not Required,Prime Vendor,CORNELL UNIVERSITY,Non-M/WBE,eCornell Training Project Management,20000.00,20000.00,20000.00,2022-08-01,2023-06-30,2022-09-23,No ,No ,Department of Health and Mental Hygiene,1013213988,1,-,WORK/LABOR,"SMALL PURCHASE - UNDER $5,000",TRAINING PRGM CITY EMPLOYEES,Human Services,816-DISS-23-1115-N00,"",-,,-,-,-,-,-,0.00,0.00,0.00,-,-,-,No ,No 
CT181620231405621,Not Required,Prime Vendor,HARLEM YOGA STUDIO LLC,Non-M/WBE,Prenatal and postpartum yoga,18000.00,12000.00,6000.00,2022-08-01,2023-06-30,2022-09-26,Yes,No ,Department of Health and Mental Hygiene,,2,-,WORK/LABOR,"SMALL PURCHASE - UNDER $5,000",CONTRACTUAL SERVICES GENERAL,Human Services,816-CHEA-23-0825-A01,"",-,,-,-,-,-,-,0.00,0.00,0.00,-,-,-,No ,No 
CT181620231405620,Not Required,Prime Vendor,TEMPLE UNIVERSITY-OF THE COMMONWEALTH SYSTEM OF HIGHER EDUCA,Non-M/WBE,National DPP Master Training,2500.00,2500.00,2500.00,2022-08-12,2023-06-30,2022-09-26,No ,No ,Department of Health and Mental Hygiene,1013215261,1,-,WORK/LABOR,"SMALL PURCHASE - UNDER $5,000",TRAINING PRGM CITY EMPLOYEES,Human Services,816-CHEB-23-0977-N00,"",-,,-,-,-,-,-,0.00,0.00,0.00,-,-,-,No ,No 
CT181620231405619,Not Required,Prime Vendor,WELLNESS IN THE SCHOOLS INC,Non-M/WBE,Assist DOHMH with development of coalition,12000.00,12000.00,11400.00,2022-07-01,2023-06-30,2022-09-26,No ,No ,Department of Health and Mental Hygiene,,1,-,CONSULTANT,"SMALL PURCHASE - UNDER $5,000",CONTRACTUAL SERVICES GENERAL,Human Services,816-CHEA-23-0723-N00,"",-,,-,-,-,-,-,0.00,0.00,0.00,-,-,-,No ,No 
CT181620231405618,Not Required,Prime Vendor,WE OUT INC,Hispanic American,Represent El Barrio Bikes at community,19000.00,19000.00,19000.00,2022-07-01,2023-06-30,2022-09-26,Yes,No ,Department of Health and Mental Hygiene,,1,-,WORK/LABOR,"SMALL PURCHASE - UNDER $5,000",CONTRACTUAL SERVICES GENERAL,Human Services,816-CHEA-23-0757-N00,"",-,,-,-,-,-,-,0.00,0.00,0.00,-,-,-,No ,No 
CT181620231405617,Not Required,Prime Vendor,DH Leonard Consulting & Grant Writing Services LLC,Women (Non-Minority),Grant writing workshop,16500.00,16500.00,16500.00,2022-07-01,2023-06-30,2022-09-26,Yes,No ,Department of Health and Mental Hygiene,,1,-,WORK/LABOR,"SMALL PURCHASE - UNDER $5,000",TRAINING PRGM CITY EMPLOYEES,Human Services,816-EPIA-23-0782-N00,"",-,,-,-,-,-,-,0.00,0.00,0.00,-,-,-,No ,No 
CT181620231405616,Not Required,Prime Vendor,UNITED PRINT GROUP INC,Hispanic American,Promotional items for the OSH Vision Program,8892.40,8892.40,8892.40,2022-08-01,2023-06-30,2022-09-26,No ,No ,Department of Health and Mental Hygiene,,1,-,SUPPLIES/MATERIALS/EQUIPMENT,"SMALL PURCHASE - UNDER $5,000",ECONOMIC DEVELOPMENT,Goods,816-FCHB-23-0818-N00,"",-,,-,-,-,-,-,0.00,0.00,0.00,-,-,-,No ,No 
CT181620231405614,Not Required,Prime Vendor,LANDAUER INC,Non-M/WBE,Radiation Monitoring Services for Environmental Health,2642.20,2642.20,2294.50,2022-07-01,2023-06-30,2022-09-23,No ,No ,Department of Health and Mental Hygiene,,1,-,SUPPLIES/MATERIALS/EQUIPMENT,"SMALL PURCHASE - UNDER $5,000",OTHR SERV AND CHRGS-GENERAL,Goods,816-EHSG-23-1078-N00,"",-,,-,-,-,-,-,0.00,0.00,0.00,-,-,-,No ,No 
CT181620231405613,Not Required,Prime Vendor,VIKEN DETECTION CORPORATION,Non-M/WBE,Calibration Services for Environmental Health -  EDIP,3200.00,3200.00,3200.00,2022-09-15,2023-06-30,2022-09-23,No ,No ,Department of Health and Mental Hygiene,1013214920,1,-,WORK/LABOR,"SMALL PURCHASE - UNDER $5,000",MAINT & REP GENERAL,Human Services,816-EHSF-23-1303-N00,"",-,,-,-,-,-,-,0.00,0.00,0.00,-,-,-,No ,No 
CT181620231405582,Not Required,Prime Vendor,Be It Enterprises LLC,Black American,Diabetes Prevention services,3200.00,3200.00,800.00,2022-08-01,2023-06-30,2022-09-22,Yes,No ,Department of Health and Mental Hygiene,,4,-,WORK/LABOR,"SMALL PURCHASE - UNDER $5,000",CONTRACTUAL SERVICES GENERAL,Human Services,816-CHEA-23-0998-N00,"",-,,-,-,-,-,-,0.00,0.00,0.00,-,-,-,No ,No 
CT181620231405507,Not Required,Prime Vendor,HUMANSCALE CORPORATION,Non-M/WBE,EEO Reasonable Accommodation Request eFloat + Keyboard Tray,2198.48,1640.03,2198.47,2022-07-27,2023-06-30,2022-09-22,No ,No ,Department of Health and Mental Hygiene,1013602575,2,-,SUPPLIES/MATERIALS/EQUIPMENT,"SMALL PURCHASE - UNDER $5,000",OFFICE FURITURE,Goods,816-FCHD-23-0802-A01,"",-,,-,-,-,-,-,0.00,0.00,0.00,-,-,-,No ,No 
CT181620231405506,Not Required,Prime Vendor,JEFFREY SILVESTRE GONZALEZ,Non-M/WBE,NYC Care Calls Diabetes Self-Management Support Consultant,10000.00,10000.00,2400.00,2022-07-28,2023-06-30,2022-09-22,No ,No ,Department of Health and Mental Hygiene,,1,-,WORK/LABOR,"SMALL PURCHASE - UNDER $5,000",PROF SERV OTHER,Human Services,816-CHEB-23-0804-N00,"",-,,-,-,-,-,-,0.00,0.00,0.00,-,-,-,No ,No 
CT181620231405387,Not Required,Prime Vendor,MICROGEM US INC,Non-M/WBE,TIME EXTENSION TO THE AGREEMENT - 24R0595.,100000.00,100000.00,49804.00,2022-10-15,2023-10-14,2022-11-21,No ,No ,Department of Health and Mental Hygiene,,6,-,REQUIREMENTS-GOODS,SM PURCH GOODS SERVICES 100K,"MEDICAL,SURGICAL & LAB SUPPLY",Goods,23R0016_MJ,"",-,,-,-,-,-,-,0.00,0.00,0.00,-,-,-,No ,No 
CT181620231405371,Not Required,Prime Vendor,KNOT TECHNOLOGY SOLUTIONS LLC,Women (Non-Minority),RENEWAL - ShareGate DeskTop License - 5 Users for 12 months,7404.00,7404.00,7404.00,2022-12-10,2023-12-09,2022-09-20,Yes,No ,Department of Health and Mental Hygiene,,1,-,SUPPLIES/MATERIALS/EQUIPMENT,"SMALL PURCHASE - UNDER $5,000",DATA PROCESSING SUPPLIES,Goods,816-IITD-23-0822-N00,"",-,,-,-,-,-,-,0.00,0.00,0.00,-,-,-,No ,No 
CT181620231405333,Not Required,Prime Vendor,UMOJA BALLOON DECOR LLC,Black American,Entertainment rental - Public Health Core for five city bure,19981.25,19981.25,19981.25,2022-08-01,2022-12-31,2022-09-21,Yes,No ,Department of Health and Mental Hygiene,,1,-,WORK/LABOR,"SMALL PURCHASE - UNDER $5,000",OTHR SERV AND CHRGS-GENERAL,Professional Services,816-CHEA-23-0789-N00,"",-,,-,-,-,-,-,0.00,0.00,0.00,-,-,-,No ,No 
CT181620231405332,Not Required,Prime Vendor,THE SPECIALTY BULB CO INC,Women (Non-Minority),UV LAMPS & FILTERS,8250.00,8250.00,0.00,2022-07-27,2023-06-30,2022-09-21,Yes,No ,Department of Health and Mental Hygiene,,2,-,SUPPLIES/MATERIALS/EQUIPMENT,"SMALL PURCHASE - UNDER $5,000","MEDICAL,SURGICAL & LAB SUPPLY",Goods,816-DISS-23-0771-N00,"",-,,-,-,-,-,-,0.00,0.00,0.00,-,-,-,No ,No 
CT181620231405331,Not Required,Prime Vendor,UNLIMITED BIKING RESERVATIONS LLC,Non-M/WBE,Bike Rentals. Physical wellness activities and nutrition str,990.00,990.00,660.00,2022-07-01,2023-06-30,2022-09-21,No ,No ,Department of Health and Mental Hygiene,,1,-,WORK/LABOR,"SMALL PURCHASE - UNDER $5,000",CONTRACTUAL SERVICES GENERAL,Human Services,816-CHEA-23-0739-N00,"",-,,-,-,-,-,-,0.00,0.00,0.00,-,-,-,No ,No 
CT181620231405330,No,Prime Vendor,KAMBRIAN CORPORATION,Asian American,Renewal: Annual Maintenance and Support fee for ManageEngine,289.00,289.00,289.00,2022-11-23,2023-11-22,2022-09-21,Yes,No ,Department of Health and Mental Hygiene,,1,-,WORK/LABOR,"SMALL PURCHASE - UNDER $5,000",DATA PROCESSING SUPPLIES,Human Services,816-IITD-23-0783-N00,"",-,,-,-,-,-,-,0.00,0.00,0.00,-,-,-,No ,No 
CT181620231405329,Not Required,Prime Vendor,BEYOND COUNSELING LCSW PC,Non-M/WBE,Training support for girls,7240.00,7240.00,4991.88,2022-07-01,2023-06-30,2022-09-21,Yes,No ,Department of Health and Mental Hygiene,,1,-,CONSULTANT,"SMALL PURCHASE - UNDER $5,000",CONTRACTUAL SERVICES GENERAL,Human Services,816-CHEA-23-0500-N00,"",-,,-,-,-,-,-,0.00,0.00,0.00,-,-,-,No ,No 
CT181620231405251,Not Required,Prime Vendor,HOW TO READ YOUR BABY,Non-M/WBE,PIPE E-TRAINING AND MATERIALS,14217.50,14217.50,10717.50,2022-07-26,2023-06-30,2022-09-19,No ,No ,Department of Health and Mental Hygiene,,1,-,WORK/LABOR,"SMALL PURCHASE - UNDER $5,000",TRAINING PRGM CITY EMPLOYEES,Human Services,FCHN-23-0766-N00,"",-,,-,-,-,-,-,0.00,0.00,0.00,-,-,-,No ,No 
CT181620231405238,Not Required,Prime Vendor,ELEVATE ORAL CARE,Non-M/WBE,The Office of School Health's Oral Health Program is looking,9974.75,9974.75,9974.75,2022-07-01,2023-06-30,2022-09-19,No ,No ,Department of Health and Mental Hygiene,1013190610,1,-,SUPPLIES/MATERIALS/EQUIPMENT,"SMALL PURCHASE - UNDER $5,000","MEDICAL,SURGICAL & LAB SUPPLY",Goods,816-FCHB-23-0685-N00,"",-,,-,-,-,-,-,0.00,0.00,0.00,-,-,-,No ,No 
